system_code,line_number,nominal_size,fluid_code,pipe_class,insulation_code,insulation_thickness,tracing,from,to,service,flow_medium,liquid_flow_bpd,water_flow_bwpd,gas_flow_mmscfd,viscosity_cp,molecular_weight,density_kg_m3,operating_pressure_min,operating_pressure_max,operating_temperature_min,operating_temperature_max,design_pressure_min,design_pressure_max,design_temperature_min,design_temperature_max,test_pressure,test_medium,design_code,schedule_wall_thickness,stress_relief,nace_mr0175,ndt_rt_pct,ndt_dpi_pct,ndt_mpi_pct,pwht,pnid_references,remarks
12,"1-1/2""-H-28-12-0325-J26S-N","1-1/2""",H,J26S,N,,,"GP-2802,N6","3""-V-28-22-0312-B26S-N",Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,,,,,AD-28-D-100007-SHT-001,
29,"1-1/2""-MT-28-29-0110-J48-N","1-1/2""",MT,J48,N,,,"1-1/2""-MT-28-29-0201-J47-N","8""-H-28-12-0120-J85S-P,8""-H-28-12-0120-J85S-N",Methanol,,,,,,,,,280,8,40,,350,-25,65,525,Water,,,,,100,100,,No,"AD-28-D-100005-SHT-001,AD-28-D-100001-SHT-001",
29,"1-1/2""-MT-28-29-0110-J85S-N","1-1/2""",MT,J85S,N,,,"1-1/2""-MT-28-29-0201-J47-N","8""-H-28-12-0120-J85S-P",Methanol,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100005-SHT-001,
29,"1-1/2""-MT-28-29-0112-J48-N","1-1/2""",MT,J48,N,,,"1-1/2""-MT-28-29-0110-J48-N","8""-H-28-12-0220-J85S-P",Methanol,,,,,,,,,280,8,40,,350,-25,65,280,Water,,,,,,,,,"AD-28-D-100005-SHT-001,AD-28-D-100006-SHT-001",
29,"1-1/2""-MT-28-29-0112-J85S-N","1-1/2""",MT,J85S,N,,,"1-1/2""-MT-28-29-0110-J48-N","8""-H-28-12-0220-J85S-P",Methanol,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100006-SHT-001,
29,"1-1/2""-MT-28-29-0201-J47-N","1-1/2""",MT,J47,N,,,"2""-MT-28-29-0715-J48-N,2""-MT-28-29-0715-J48-N,N2","8""-H-28-12-0102-J16-P,8""-H-28-12-0102-J16-P,HCV-281040.A",Methanol,,,,,,,,97,279,,25,,350,-46,90,,,,,,,,,,No,"AD-28-D-100001-SHT-001,AD-28-D-100004-SHT-001",
29,"1-1/2""-MT-28-29-0202-J47-N","1-1/2""",MT,J47,N,,,"2""-MT-28-29-0713-J48-N","8""-H-28-12-0105-J16-P",Methanol,,,,,,,,97,279,56,70,,350,-46,90,,,,,,,,,,No,AD-28-D-100001-SHT-001,
29,"1-1/2""-MT-28-29-0203-B47-N","1-1/2""",MT,B47,N,,,"Q-2801,F","2""-DH-28-02-02-B03-N /1-1/2""-MT-28-29-0512-B48-N",Methanol,,,,,,,,,0,8,40,,3.5,,55,,,,,,,,,,,AD-28-D-100004-SHT-001,
29,"1-1/2""-MT-28-29-0512-B48-N","1-1/2""",MT,B48,N,,,"Q-2801,F,2""-MT-28-29-0203-B47-N",BLIND END,Methanol,,,,,,,,,0,8,40,,3.5,-25,65,5.25,Water,,,,,5,,5,No,AD-28-D-100004-SHT-001,
29,"1-1/2""-MT-28-29-0711-J48-N","1-1/2""",MT,J48,N,,,"2""-MT-28-29-0713-J48-N","14""-H-28-12-0321-J26S-P",Methanol,,,,,,,,,140,8,40,,350,-25,65,525,Water,,,,,100,100,,No,AD-28-D-100007-SHT-001,
29,"1-1/2""-MT-28-29-0715-J48-N","1-1/2""",MT,J48,N,,,"N2,BLIND END","1-1/2""-MT-28-29-0201-J47-N,2""-MT-28-29-0713-J48-N",Methanol,,,,,,,,,140,8,40,,350,-25,65,525,Water,,,,,100,100,,No,AD-28-D-100004-SHT-001,
21,"1-1/2""-N-28-21-0201-J47-N","1-1/2""",N,J47,N,,,G-2803.B,"1-1/2""-N-28-21-0201-J48-N",Nitrogen,,,,,,,,,0,9,40,,350,-25,65,525,Water,,,,,,,,No,AD-28-D-100001-SHT-001,
21,"1-1/2""-N-28-21-0201-J48-N","1-1/2""",N,J48,N,,,"1-1/2""-N-28-21-0201-J47-N",KW-2801 WELLHEAD SAFETY CABINET,Nitrogen,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100001-SHT-001,
21,"1/2""-N-28-21-0201-J47-N","1/2""",N,J47,N,,,G-2803.B,"1-1/2""-N-28-21-0201-J48-N",Nitrogen,,,,,,,,,0,9,40,,350,-25,65,525,Water,,,,,,,,No,AD-28-D-100001-SHT-001,
21,"1/2""-N-28-21-0202-B10-N","1/2""",N,B10,N,,,HOSE CONNECTION,"2""-V-28-22-0203-B10-N",Nitrogen,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100004-SHT-001,
29,"1/4""-JC-28-29-0202-B48-N","1/4""",JC,B48,N,,,"Q-2802,F1","P-2802.C,PSV-282020.C",HP Corrosion Inhibitor,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100002-SHT-001,
29,"1/4""-JC-28-29-0202-B56-N","1/4""",JC,B56,N,,,"Q-2802,F1",P-2802.A/B,HP Corrosion Inhibitor,,,,,,,,,0,8,40,,3.5,,55,,,,,,,,,,,AD-28-D-100002-SHT-001,
12,"14""-H-28-12-0320-J26S-P","14""",H,J26S,P,,,HEADER,"14""-H-28-12-0321-J26S-P",Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,100,,100,Yes,AD-28-D-100007-SHT-001,
12,"14""-H-28-12-0321-J26S-P","14""",H,J26S,P,,,"14""-H-28-12-0320-J26S-P","14""-H-28-12-0322-J20SPL-P",Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,100,,100,Yes,AD-28-D-100007-SHT-001,
12,"14""-H-28-12-0322-J20SPL-P","14""",H,J20SPL,P,,,"GP-2802,N2","TO NKPP PLATFORM,14""-HC-74-90-0001-J20SPL-P",Process Fluid,,,,,,,,,121,,87,-1,350,-46,125,525,Water,,,,,100,,100,Yes,AD-28-D-100007-SHT-001,
31,"2""-DH-28-31-0101-B03-N","2""",DH,B03,N,,,"GP-2801,D1,D2,2""-H-28-12-0108-J16-N","3""-DH-28-31-0301-B03-N",Closed Drain,,,,,,,,,0,8,40,,1,-25,55,,,,,,,,,,Yes,"AD-28-D-100003-SHT-001,AD-28-D-100001-SHT-001",
31,"2""-DH-28-31-0102-B03-N","2""",DH,B03,N,,,"3""-V-28-22-0103-B16-N","3""-DH-28-31-0301-B03-N",Closed Drain,,,,,,,,,0,8,40,,1,-25,55,,,,,,,,,,,AD-28-D-100003-SHT-001,
31,"2""-DH-28-31-0103-B03-N","2""",DH,B03,N,,,"DRIP PAN GP-2801,GP-2801 DRIP PAN","3""-DH-28-31-0304-B03-N",Closed Drain,,,,,,,,,0,8,40,,1,-25,55,,,,,,,,,,Yes,"AD-28-D-100003-SHT-001,AD-28-D-100001-SHT-001",
31,"2""-DH-28-31-0104-B03-N","2""",DH,B03,N,,,"2""-H-28-12-0102-J16-N","3""-DH-28-31-0301-B03-N",Closed Drain,,,,,,,,,0,8,40,,1,-25,55,,,,,,,,,,Yes,"AD-28-D-100001-SHT-001,AD-28-D-100003-SHT-001",
31,"2""-DH-28-31-0105-B03-N","2""",DH,B03,N,,,"8""-H-28-12-0104-J16-P,2""-H-28-12-0104-J16-N","3""-DH-28-31-0301-B03-N",Closed Drain,,,,,,,,,0,8,40,,1,-25,55,,,,,,,,,,Yes,"AD-28-D-100003-SHT-001,AD-28-D-100001-SHT-001",
31,"2""-DH-28-31-0107-B03-N","2""",DH,B03,N,,,"3""-V-28-22-0105-B16-N","3""-DH-28-31-0301-B03-N",Closed Drain,,,,,,,,,0,8,40,,1,-25,55,,,,,,,,,,Yes,AD-28-D-100003-SHT-001,
31,"2""-DH-28-31-0108-B06S-N","2""",DH,B06S,N,,,"3""-DH-28-31-0414-B06S-N",BLIND END,Closed Drain,,,,,,,,,,,,,3.5,-25,55,5.25,,,,,,,,,,AD-28-D-100001-SHT-001,
31,"2""-DH-28-31-0109-B06S-N","2""",DH,B06S,N,,,BLIND END,"3""-DH-28-31-0414-B06S-N",Closed Drain,,,,,,,,,,,,,3.5,-25,55,5.25,,,,,,,,,,AD-28-D-100001-SHT-001,
31,"2""-DH-28-31-0202-B03-N","2""",DH,B03,N,,,"Q-2801,F,2""-MT-28-29-0203-B47-N","3""-DH-28-31-0301-B03-N",Closed Drain,,,,,,,,,0,8,40,,1,-25,55,,,,,,,,,,Yes,"AD-28-D-100003-SHT-001,AD-28-D-100004-SHT-001",
31,"2""-DH-28-31-0203-B03-N","2""",DH,B03,N,,,"2""-JC-28-29-0202-B48-N,2""-DH-28-31-0203-B06S-N,HOSE CONNECTION","3""-DH-28-31-0301-B03-N",Closed Drain,,,,,,,,,0,8,40,,1,-25,55,,,,,,,,,,Yes,"AD-28-D-100003-SHT-001,AD-28-D-100002-SHT-001",
31,"2""-DH-28-31-0203-B06S-N","2""",DH,B06S,N,,,"2""-JC-28-29-0202-B48-N","2""-DH-28-31-0203-B03-N",Closed Drain,,,,,,,,,,,,,,,,,Water,,,,,100,,100,,AD-28-D-100002-SHT-001,
31,"2""-DH-28-31-0205-B03-N","2""",DH,B03,N,,,"2""-DH-28-31-0710-B06S-N,N3,2""-DH-28-31-0710-B06S-N,2""-DH-28-31-0215-B06S-N","3""-DH-28-31-0304-B03-N",Closed Drain,,,,,,,,,0,8,40,,1,-25,55,,,,,,,100,,100,Yes,"AD-28-D-100004-SHT-001,AD-28-D-100003-SHT-001",
31,"2""-DH-28-31-0211-B06S-N","2""",DH,B06S,N,,,"BLIND END,2""-H-28-12-0326-J26S-N,2""-H-28-12-0225-J26S-N,2""-H-28-12-0330-J26S-N,FA-2804","3""-DH-28-31-0301-B03-N",Closed Drain,,,,,,,,,0,8,40,,7,-30,110,10.5,Air,,,,,100,,100,,AD-28-D-100003-SHT-001,
31,"2""-DH-28-31-0215-B06S-N","2""",DH,B06S,N,,,KW-2801 WELLHEAD SAFETY CABINET,"2""-DH-28-31-0710-B06S-N",Closed Drain,,,,,,,,,0,8,40,,1,-30,110,10.5,Water,,,,,100,,100,,"AD-28-D-100004-SHT-001,AD-28-D-100007-SHT-001",
31,"2""-DH-28-31-0303-B03-N","2""",DH,B03,N,,,"Q-2803,D1,D2",HOSE CONNECTION FOR BOAT SUPPLY,Closed Drain,,,,,,,,,0,8,40,,1,-25,55,,,,,,,100,,100,No,AD-28-D-100003-SHT-001,
31,"2""-DH-28-31-0304-B03-N","2""",DH,B03,N,,,"2""-DH-28-31-0314-B06S-N","Q-2803,OD",Closed Drain,,,,,,,,,0,8,40,,1,-25,55,29.4,,,,,,100,,100,No,AD-28-D-100003-SHT-001,
31,"2""-DH-28-31-0311-B06S-N","2""",DH,B06S,N,,,GP-2802 DRIP PAN,"3""-DH-28-31-0304-B03-N",Closed Drain,,,,,,,,,,,,,,,,,,,,,,,,,Yes,"AD-28-D-100007-SHT-001,AD-28-D-100003-SHT-001",
31,"2""-DH-28-31-0314-B06S-N","2""",DH,B06S,N,,,M TRANSFORMER DRIP TRAY,"3""-DH-28-31-0304-B03-N",Closed Drain,,,,,,,,,0,8,40,,1,-30,100,10.5,Water,,,,,,,,,AD-28-D-100003-SHT-001,
31,"2""-DH-28-31-0414-B06S-N","2""",DH,B06S,N,,,"3""-H-28-12-0113-H03S-N,2""-H-28-12-0114-H03S-N","3""-DH-28-31-0110-B03-N",Closed Drain,,,,,,,,,0,8,40,,7,-30,110,10.5,Water,,,,,100,,100,,AD-28-D-100001-SHT-001,
31,"2""-DH-28-31-0710-B06S-N","2""",DH,B06S,N,,,"BLIND END,BLIND END,N3","2""-DH-28-31-0205-B03-N",Closed Drain,,,,,,,,,0,8,40,,1,-30,110,10.5,Water,,,,,100,,100,,AD-28-D-100004-SHT-001,
12,"2""-H-28-12-0102-J16-N","2""",H,J16,N,,,AF-4 WELLHEAD,"8""-H-28-12-0328-J26S-P,2""H-28-12-0109-J16-N,2""-DH-28-31-0104-B03-N",Process Fluid,,,,,,,,97,279,56,70,,350,-46,90,,,,,,,,,,Yes,AD-28-D-100001-SHT-001,
12,"2""-H-28-12-0102-J16-P","2""",H,J16,P,,,AF-4 WELLHEAD,"8""-H-28-12-0328-J26S-P,2""H-28-12-0109-J16-N,2""-DH-28-31-0104-B03-N",Process Fluid,,,,,,,,97,279,56,70,,350,-46,90,,,,,,,,,,Yes,AD-28-D-100001-SHT-001,
12,"2""-H-28-12-0104-J16-N","2""",H,J16,N,,,"8""-H-28-12-0103-J16-P,8""-H-28-12-0223-J26S-P",HEADER,Process Fluid,,,,,,,,95,154,36,70,,350,-46,90,,,,,,,,,,Yes,AD-28-D-100001-SHT-001,
12,"2""-H-28-12-0105-J16-N","2""",H,J16,N,,,"8""-H-28-12-0104-J16-P","8""-H-28-18-0101-J20-N,3""-V-28-22-0101-B16-N",Process Fluid,,,,,,,,95,154,36,70,,350,-46,90,,,,,,,,,,Yes,AD-28-D-100001-SHT-001,
12,"2""-H-28-12-0105-J16-P","2""",H,J16,P,,,"8""-H-28-12-0104-J16-P","8""-H-28-18-0101-J20-N,3""-V-28-22-0101-B16-N",Process Fluid,,,,,,,,95,154,36,70,,350,-46,90,,,,,,,,,,Yes,AD-28-D-100001-SHT-001,
12,"2""-H-28-12-0107-J16-N","2""",H,J16,N,,,"GP-2801,PSV1","3""-V-28-22-0105-B16-N,3""-V-28-22-0105-D03-N",Process Fluid,,,,,,,,95,154,36,70,,350,-46,90,,,,,,,,,,,AD-28-D-100001-SHT-001,
12,"2""-H-28-12-0108-J16-N","2""",H,J16,N,,,"GP-2801,D1,D2","2""-DH-28-31-0101-B03-N",Process Fluid,,,,,,,,95,154,36,70,,350,-46,90,,,,,,,,,,,AD-28-D-100001-SHT-001,
12,"2""-H-28-12-0109-J16-N","2""",H,J16,N,,,"8""-H-28-12-0102-J16-P","3""-V-28-22-0103-B16-N",Process Fluid,,,,,,,,97,279,56,70,,350,-46,90,,,,,,,,,,,AD-28-D-100001-SHT-001,
12,"2""-H-28-12-0112-J16-N","2""",H,J16,N,,,"GP-2801,A1","8""-H-28-12-0105-J16-N",Process Fluid,,,,,,,,95,154,36,70,,350,-46,90,,,,,,,,,,Yes,AD-28-D-100001-SHT-001,
12,"2""-H-28-12-0113-H03S-N","2""",H,H03S,N,,,"20"" CASING (AF-4)","3""-DH-28-31-0414-B06S-N,BLIND END",Process Fluid,,,,,,,,,,,,,190,,100,,,,,,,100,,100,Yes,AD-28-D-100001-SHT-001,
12,"2""-H-28-12-0114-H03S-N","2""",H,H03S,N,,,"13 3/8"" CASING (AF-4)","3""-DH-28-31-0414-B06S-N,BLIND END",Process Fluid,,,,,,,,,,,,,190,,100,,,,,,,,,,,AD-28-D-100001-SHT-001,
12,"2""-H-28-12-0120-J85S-P","2""",H,J85S,P,,,AF9 WELLHEAD,"HCV-281040.B,2""-H-28-12-0125-J26S-N",Process Fluid,,,,,,,,,280,107,117,,350,-46,125,602,Water,,,,,100,100,,No,AD-28-D-100005-SHT-001,
12,"2""-H-28-12-0124-J85S-P","2""",H,J85S,P,,,"8""-H-28-12-0120-J85S-P","2""-V-28-22-0110-B26S-N",Process Fluid,,,,,,,,,280,107,117,,350,-46,125,602,Water,,,,,100,100,,No,AD-28-D-100005-SHT-001,
12,"2""-H-28-12-0125-J26S-N","2""",H,J26S,N,,,"8""-H-28-12-0120-J85S-P","2""-H-28-12-0225-J26S-N",Process Fluid,,,,,,,,,280,107,117,,350,-46,125,525,Water,,,,,,,,,"AD-28-D-100005-SHT-001,AD-28-D-100006-SHT-001",
12,"2""-H-28-12-0220-J85S-P","2""",H,J85S,P,,,AF10 WELLHEAD,"HCV-281040.C,2""-H-28-12-0225-J26S-N,2""-H-28-12-0224-J85S-P",Process Fluid,,,,,,,,,280,107,117,,350,-46,125,602,Water,,,,,100,100,,No,AD-28-D-100006-SHT-001,
12,"2""-H-28-12-0224-J85S-P","2""",H,J85S,P,,,"8""-H-28-12-0220-J85S-P","2""-V-28-22-0210-B26S-N",Process Fluid,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100006-SHT-001,
12,"2""-H-28-12-0225-J26S-N","2""",H,J26S,N,,,"8""-H-28-12-0220-J85S-P,2""-H-28-12-0125-J26S-N","3""-DH-28-31-0211-B06S-N",Process Fluid,,,,,,,,,280,107,117,,350,-46,125,525,Water,,,,,,,,,"AD-28-D-100003-SHT-001,AD-28-D-100006-SHT-001",
12,"2""-H-28-12-0320-J26S-P","2""",H,J26S,P,,,HEADER,"14""-H-28-12-0321-J26S-P",Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,100,,100,Yes,AD-28-D-100007-SHT-001,
12,"2""-H-28-12-0321-J26S-P","2""",H,J26S,P,,,"14""-H-28-12-0320-J26S-P","14""-H-28-12-0322-J20SPL-P",Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,100,,100,Yes,AD-28-D-100007-SHT-001,
12,"2""-H-28-12-0323-J26S-N","2""",H,J26S,N,,,"14""-H-28-12-0321-J26S-P","GP-2802,N1",Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,100,,100,Yes,AD-28-D-100007-SHT-001,
12,"2""-H-28-12-0324-J26S-N","2""",H,J26S,N,,,"GP-2802,N3","3""-V-28-22-0311-B26S-N",Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,,,,,AD-28-D-100007-SHT-001,
12,"2""-H-28-12-0325-J26S-N","2""",H,J26S,N,,,"GP-2802,N6","3""-V-28-22-0312-B26S-N",Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,,,,,AD-28-D-100007-SHT-001,
12,"2""-H-28-12-0326-J26S-N","2""",H,J26S,N,,,"GP-2802,N4,N5","3""-DH-28-31-0211-B06S-N",Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,,,,,"AD-28-D-100003-SHT-001,AD-28-D-100007-SHT-001",
12,"2""-H-28-12-0327-J26S-P","2""",H,J26S,P,,,"14""-H-28-12-0321-J26S-P","3""-V-28-22-0310-B26S-N",Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,,,,,AD-28-D-100007-SHT-001,
12,"2""-H-28-12-0330-J26S-N","2""",H,J26S,N,,,"14""-H-28-12-0320-J26S-N,14""-H-28-12-0320-J26S-P","3""-DH-28-31-0211-B06S-N",Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,,,,,"AD-28-D-100003-SHT-001,AD-28-D-100007-SHT-001",
12,"2""-H-28-12-0333-J26S-N","2""",H,J26S,N,,,"GP-2802,N8","3""-V-28-22-0313-B26S-N",Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,,,,,AD-28-D-100007-SHT-001,
12,"2""-H-28-12-0334-J26S-N","2""",H,J26S,N,,,GP-2802,N2 PURGE,Process Fluid,,,,,,,,,121,,87,,350,-46,125,525,Water,,,,,,,,,AD-28-D-100007-SHT-001,
29,"2""-JC-28-29-0110-J85S-N","2""",JC,J85S,N,,,"P-2802.B,G2802","8""-H-28-12-0120-J85S-P",HP Corrosion Inhibitor,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100005-SHT-001,
29,"2""-JC-28-29-0111-J85S-N","2""",JC,J85S,N,,,"P-2802.C,G-2802","8""-H-28-12-0220-J85S-P",HP Corrosion Inhibitor,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100006-SHT-001,
29,"2""-JC-28-29-0202-B48-N","2""",JC,B48,N,,,"Q-2802,F1","2""-DH-28-31-0203-B06S-N",HP Corrosion Inhibitor,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100002-SHT-001,
29,"2""-JC-28-29-0202-B56-N","2""",JC,B56,N,,,"Q-2802,F1","2""-DH-28-31-0203-B06S-N",HP Corrosion Inhibitor,,,,,,,,,0,8,40,,3.5,,55,,,,,,,,,,,AD-28-D-100002-SHT-001,
29,"2""-JC-28-29-0203-B47-N","2""",JC,B47,N,,,HOSE CONNECTION,"Q-2802,A1",HP Corrosion Inhibitor,,,,,,,,,0,8,40,,3.5,,55,,,,,,,,,,,AD-28-D-100002-SHT-001,
29,"2""-MT-28-29-0110-J85S-N","2""",MT,J85S,N,,,"1-1/2""-MT-28-29-0201-J47-N","8""-H-28-12-0120-J85S-P",Methanol,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100005-SHT-001,
29,"2""-MT-28-29-0112-J85S-N","2""",MT,J85S,N,,,"1-1/2""-MT-28-29-0110-J48-N","8""-H-28-12-0220-J85S-P",Methanol,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100006-SHT-001,
29,"2""-MT-28-29-0202-J47-N","2""",MT,J47,N,,,"2""-MT-28-29-0713-J48-N","8""-H-28-12-0105-J16-P",Methanol,,,,,,,,97,279,56,70,,350,-46,90,,,,,,,,,,No,AD-28-D-100001-SHT-001,
29,"2""-MT-28-29-0203-B47-N","2""",MT,B47,N,,,"Q-2801,F","2""-DH-28-02-02-B03-N /1-1/2""-MT-28-05-12-B48",Methanol,,,,,,,,,0,8,40,,3.5,,55,,,,,,,,,,,AD-28-D-100004-SHT-001,
29,"2""-MT-28-29-0207-B47-N","2""",MT,B47,N,,,HOSE CONNECTION FOR BOAT SUPPLY,"Q-2801,A",Methanol,,,,,,,,,0,8,40,,3.5,,55,,,,,,,,,,No,AD-28-D-100004-SHT-001,
29,"2""-MT-28-29-0711-J48-N","2""",MT,J48,N,,,"2""-MT-28-29-0713-J48-N","14""-H-28-12-0321-J26S-P,14""-H-28-12-0320-J26S-P",Methanol,,,,,,,,,140,8,40,,350,-25,65,525,Water,,,,,100,100,,",No","AD-28-D-100004-SHT-001,AD-28-D-100007-SHT-001",
29,"2""-MT-28-29-0713-J48-N","2""",MT,J48,N,,,"2""-MT-28-29-0715-J48-N,N2","2""-MT-28-29-0202-J47-N",Methanol,,,,,,,,,140,8,40,,350,-25,65,525,Water,,,,,,,,,"AD-28-D-100004-SHT-001,AD-28-D-100001-SHT-001",
29,"2""-MT-28-29-0715-J48-N","2""",MT,J48,N,,,"N2,BLIND END","1-1/2""-MT-28-29-0201-J47-N,2""-MT-28-29-0713-J48-N",Methanol,,,,,,,,,140,8,40,,350,-25,65,525,Water,,,,,100,100,,No,AD-28-D-100004-SHT-001,
21,"2""-N-28-21-0202-B10-N","2""",N,B10,N,,,HOSE CONNECTION,"2""-V-28-22-0203-B10-N",Nitrogen,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100004-SHT-001,
22,"2""-V-28-22-0101-B16-N","2""",V,B16,N,,,"2""-H-28-12-0105-J16-N","4""-V-28-22-0104-B16-N",Vent,,,,,,,,,0,,50,,3.5,-46,70,,,,,,,,,,Yes,AD-28-D-100001-SHT-001,
22,"2""-V-28-22-0102-B16-N","2""",V,B16,N,,,"GP-2801,F","4""-V-28-22-0104-B16-N",Vent,,,,,,,,,0,,,,3.5,-46,70,,,,,,,,,,Yes,AD-28-D-100001-SHT-001,
22,"2""-V-28-22-0103-B16-N","2""",V,B16,N,,,"2""-H-28-12-0109-J16-N,3""-V-28-22-0101-B16-N,3""-V-28-22-0102-B16-N","2""-DH-28-31-0102-B03-N,4""-V-28-22-0104-B16-N",Vent,,,,,,,,,0,,,,3.5,-46,70,,,,,,,,,,Yes,"AD-28-D-100003-SHT-001,AD-28-D-100001-SHT-001",
22,"2""-V-28-22-0105-B16-N","2""",V,B16,N,,,"GP-2801,PSV-281010","4""-V-28-22-0105-B16-N,ATM",Vent,,,,,,,,,0,,,,3.5,"-46,-25",70,,,,,,,,,,Yes,AD-28-D-100003-SHT-001,
22,"2""-V-28-22-0110-B26S-N","2""",V,B26S,N,,,"2""-H-28-12-0124-J85S-P","3""-V-28-22-0103-B16-N",Vent,,,,,,,,,0,8,43,,3.5,-46,125,3.85,Air,,,,,,,,,"AD-28-D-100005-SHT-001,AD-28-D-100003-SHT-001",
22,"2""-V-28-22-0203-B10-N","2""",V,B10,N,,,"Q-2801,E","4""-V-28-22-0105-B16-N",Vent,,,,,,,,,0,8,43,,3.5,,55,,,,,,,,,,,"AD-28-D-100004-SHT-001,AD-28-D-100003-SHT-001",
22,"2""-V-28-22-0204-B06-N","2""",V,B06,N,,,"Q-2602,E1",TO ATM,Vent,,,,,,,,,0,8,43,,3.5,,55,,,,,,,,,,,AD-28-D-100002-SHT-001,
22,"2""-V-28-22-0210-B26S-N","2""",V,B26S,N,,,"2""-H-28-12-0224-J85S-N,2""-H-28-12-0224-J85S-P","2""-V-28-22-0110-B26S-N",Vent,,,,,,,,,0,8,43,,3.5,-46,125,3.85,Air,,,,,,,,,"AD-28-D-100005-SHT-001,AD-28-D-100006-SHT-001",
22,"2""-V-28-22-0310-B26S-N","2""",V,B26S,N,,,"14""-H-28-12-0322-J20SPL-P,14""-H-28-12-0321-J26S-P,2""-H-28-12-0327-J26S-P","3""-V-28-22-0103-B16-N",Vent,,,,,,,,,0,8,43,,3.5,-46,125,3.85,Air,,,,,100,,100,,"AD-28-D-100003-SHT-001,AD-28-D-100007-SHT-001",
22,"2""-V-28-22-0313-B26S-N","2""",V,B26S,N,,,"GP-2802,N8,2""-H-28-12-0333-J26S-N","3""-V-28-22-0311-B26S-N",Vent,,,,,,,,,0,8,43,,3.5,-46,125,3.85,Air,,,,,100,,100,,AD-28-D-100007-SHT-001,
99,"2""-VT-28-99-GP-2801-J16-N","2""",VT,J16,N,,,"GP-2801,F","3""-V-28-22-0102-B16-N,HUB CONNECTOR",Vessel Trim,,,,,,,,,,,,,",350",",-46",",90",,,,,,,,,,,AD-28-D-100001-SHT-001,
99,"2""-VT-28-99-GP-2802-J20S-N","2""",VT,J20S,N,,,"GP-2802,N9",,Vessel Trim,,,,,,,,,,,,-1,350,-46,125,,,,,,,,,,,AD-28-D-100007-SHT-001,
99,"2""-VT-28-99-Q-2801-B02-N","2""",VT,B02,N,,,"Q-2801,LS1,Q-2801,S,Q-2801,D1,Q-2801,LS2,Q-2801,N1",,Vessel Trim,,,,,,,,,0.03,8,40,,3.5,,55,5.25,Water,,,,,,,,,AD-28-D-100004-SHT-001,
99,"2"",1""-VT-28-99-Q-2801-B48-N","2"",1""",VT,B48,N,,,"Q-2801,LS2",,Vessel Trim,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100004-SHT-001,
99,"2""-VT-28-99-Q-2802-B56-N","2""",VT,B56,N,,,Q-2802,,Vessel Trim,,,,,,,,,,,,,3.5,,55,,,,,,,,,,,AD-28-D-100002-SHT-001,
31,"3""-DH-28-31-0108-B06S-N","3""",DH,B06S,N,,,"3""-DH-28-31-0414-B06S-N",BLIND END,Closed Drain,,,,,,,,,,,,,3.5,-25,55,5.25,,,,,,,,,,AD-28-D-100001-SHT-001,
31,"3""-DH-28-31-0109-B06S-N","3""",DH,B06S,N,,,BLIND END,"3""-DH-28-31-0414-B06S-N",Closed Drain,,,,,,,,,,,,,3.5,-25,55,5.25,,,,,,,,,,AD-28-D-100001-SHT-001,
31,"3""-DH-28-31-0110-B03-N","3""",DH,B03,N,,,"3""-DH-28-31-0414-B06S-N","Q-2803,F",Closed Drain,,,,,,,,,,,,,3.5,-25,55,5.25,,,,,,100,,100,Yes,"AD-28-D-100003-SHT-001,AD-28-D-100001-SHT-001",
31,"3""-DH-28-31-0211-B06S-N","3""",DH,B06S,N,,,"BLIND END,2""-H-28-12-0326-J26S-N,2""-H-28-12-0225-J26S-N,2""-H-28-12-0330-J26S-N,FA-2804","3""-DH-28-31-0301-B03-N",Closed Drain,,,,,,,,,0,8,40,,7,-30,110,10.5,Air,,,,,100,,100,,AD-28-D-100003-SHT-001,
