system_code,line_number,nominal_size,fluid_code,pipe_class,insulation_code,insulation_thickness,tracing,from,to,service,flow_medium,liquid_flow_bpd,water_flow_bwpd,gas_flow_mmscfd,viscosity_cp,molecular_weight,density_kg_m3,operating_pressure_min,operating_pressure_max,operating_temperature_min,operating_temperature_max,design_pressure_min,design_pressure_max,design_temperature_min,design_temperature_max,test_pressure,test_medium,design_code,schedule_wall_thickness,stress_relief,nace_mr0175,ndt_rt_pct,ndt_dpi_pct,ndt_mpi_pct,pwht,pnid_references,remarks
22,"4""-V-28-22-0104-B06S-N","4""",V,B06S,N,,,"3""-V-28-22-0103-B16-N",TO ATM,Vent,,,,,,,,,0,,,,3.5,-46,70,,,,,,,,,,Yes,AD-28-D-100003-SHT-001,
22,"4""-V-28-22-0104-B16-N","4""",V,B16,N,,,"3""-V-28-22-0103-B16-N",TO ATM,Vent,,,,,,,,,0,,,,3.5,-46,70,,,,,,,,,,Yes,AD-28-D-100003-SHT-001,
22,"4""-V-28-22-0105-B06S-N","4""",V,B06S,N,,,"GP-2801,PSV-281010","4""-V-28-22-0105-B16-N,ATM",Vent,,,,,,,,,,,,,,,,,,,,,,,,,Yes,AD-28-D-100003-SHT-001,
22,"4""-V-28-22-0105-B16-N","4""",V,B16,N,,,"GP-2801,PSV-281010","4""-V-28-22-0105-B16-N,ATM",Vent,,,,,,,,,0,,,,3.5,-46,70,,,,,,,,,,Yes,AD-28-D-100003-SHT-001,
22,"4""-V-28-22-0202-B47-N","4""",V,B47,N,,,PSV-282010,"4""-V-28-22-0105-B16-N",Vent,,,,,,,,,0,,40,,3.5,,90,,,,,,,,,,No,"AD-28-D-100003-SHT-001,AD-28-D-100004-SHT-001",
22,"4""-V-28-22-0302-B03-N","4""",V,B03,N,,,"4""-DH-28-31-0302-B03-N","6""-V-28-22-0301-B03-N",Vent,,,,,,,,,0,8,40,,3.5,-25,55,5.25,,,,,,100,,100,No,AD-28-D-100003-SHT-001,
27,"4""-WF-28-27-0301-B94-N","4""",WF,B94,N,,,SUPPLY BOAT,DECKS,Fire Water,,,,,,,,,,,,,,,,,,,,,,,,,,AD-28-D-100003-SHT-001,
12,"4-1/16""-H-28-12-0120-J85S-P","4-1/16""",H,J85S,P,,,AF9 WELLHEAD,"HCV-281040.B,2""-H-28-12-0125-J26S-N",Process Fluid,,,,,,,,,280,107,117,,350,-46,125,602,Water,,,,,100,100,,No,AD-28-D-100005-SHT-001,
12,"4-1/16""-H-28-12-0220-J85S-P","4-1/16""",H,J85S,P,,,AF10 WELLHEAD,"HCV-281040.C,2""-H-28-12-0225-J26S-N,2""-H-28-12-0224-J85S-P",Process Fluid,,,,,,,,,280,107,117,,350,-46,125,602,Water,,,,,100,100,,No,AD-28-D-100006-SHT-001,
31,"6""-DH-28-31-0211-B06S-N","6""",DH,B06S,N,,,"BLIND END,2""-H-28-12-0326-J26S-N,2""-H-28-12-0225-J26S-N,2""-H-28-12-0330-J26S-N,FA-2804","3""-DH-28-31-0301-B03-N",Closed Drain,,,,,,,,,0,8,40,,7,-30,110,10.5,Air,,,,,100,,100,,AD-28-D-100003-SHT-001,
